Genre,Blacklisted
4-Koma,yes
Action,no
Adaptation,no
Adventure,no
Aliens,no
Animals,no
Anthology,no
Award Winning,no
Boys' Love,yes
Cars,no
Comedy,no
Cooking,no
Crime,no
Crossdressing,no
Delinquents,no
Dementia,no
Demons,no
Doujinshi,yes
Drama,no
Ecchi,yes
Fantasy,no
Food,no
Friendship,no
Full Color,no
Game,no
Gender Bender,yes
Genderswap,yes
Ghosts,no
Girls' Love,yes
Gore,no
Gyaru,yes
Harem,no
Hentai,yes
Historical,no
Horror,no
Incest,yes
Isekai,no
Kids,no
Loli,yes
Long Strip,no
Mafia,no
Magic,no
Magical Girls,no
Mahou Shoujo,no
Martial Arts,no
Mature,yes
Mecha,no
Medical,no
Military,no
Monster Girls,no
Monsters,no
Music,no
Mystery,no
Ninja,no
Office Workers,no
Official Colored,no
Oneshot,yes
Parody,no
Philosophical,no
Police,no
Post-Apocalyptic,no
Psychological,no
Racing,no
Reincarnation,no
Reverse Harem,yes
Romance,no
Samurai,no
School,no
School Life,yes
Sci-Fi,no
Self-Published,no
Sexual Violence,no
Shota,yes
Shoujo Ai,yes
Shounen Ai,yes
Slice Of Life,no
Space,no
Sports,no
Super Power,no
Superhero,no
Supernatural,no
Survival,no
Thriller,no
Time Travel,no
Traditional Games,no
Tragedy,no
Vampire,no
Vampires,no
Video Games,no
Villainess,no
Virtual Reality,no
Web Comic,no
Wuxia,no
Yaoi,yes
Yuri,yes
Zombies,no
